segment,timestamp_sec,face_count,head_count,head_up_rate
head_detect_seg002,9.0,17,27,0.5926
head_detect_seg002,10.0,16,26,0.6154
head_detect_seg002,11.0,18,24,0.7083
head_detect_seg002,12.0,17,28,0.6071
head_detect_seg002,13.0,17,28,0.6071
head_detect_seg002,14.0,17,26,0.6154
head_detect_seg002,15.0,17,25,0.6400
head_detect_seg002,16.0,20,27,0.7037
head_detect_seg002,17.0,17,26,0.6154
head_detect_seg002,18.0,18,25,0.6400
head_detect_seg002,19.0,18,25,0.6800
head_detect_seg002,20.0,16,26,0.5769
head_detect_seg002,21.0,16,26,0.5769
head_detect_seg002,22.0,14,26,0.5000
head_detect_seg002,23.0,15,29,0.4828
head_detect_seg002,24.0,16,24,0.6250
head_detect_seg002,25.0,17,25,0.6400
head_detect_seg002,26.0,16,29,0.5517
head_detect_seg002,27.0,18,30,0.5667
head_detect_seg002,28.0,13,28,0.4286
head_detect_seg002,29.0,14,26,0.5000
head_detect_seg002,30.0,17,24,0.6250
head_detect_seg002,31.0,16,25,0.6000
head_detect_seg002,32.0,12,27,0.4444
head_detect_seg002,33.0,11,26,0.4231
head_detect_seg002,34.0,10,23,0.4348
head_detect_seg002,35.0,13,25,0.5200
head_detect_seg002,36.0,14,24,0.5833
head_detect_seg002,37.0,13,25,0.5200
head_detect_seg002,38.0,14,26,0.5385
head_detect_seg002,39.0,13,25,0.4800
head_detect_seg002,40.0,13,27,0.4074
head_detect_seg002,41.0,17,24,0.6250
head_detect_seg002,42.0,19,23,0.7391
head_detect_seg002,43.0,17,19,0.7895
head_detect_seg002,44.0,18,23,0.6957
head_detect_seg002,45.0,13,20,0.6000
head_detect_seg002,46.0,13,22,0.5455
head_detect_seg002,47.0,14,22,0.5909
head_detect_seg002,48.0,16,21,0.6667
head_detect_seg002,49.0,19,22,0.7727
head_detect_seg002,50.1,16,25,0.6000
head_detect_seg002,51.1,16,24,0.6250
head_detect_seg002,52.1,18,24,0.7083
head_detect_seg002,53.1,16,25,0.6000
head_detect_seg002,54.1,14,24,0.5417
head_detect_seg002,55.1,14,24,0.5417
head_detect_seg002,56.1,15,25,0.5600
head_detect_seg002,57.1,13,27,0.4444
head_detect_seg002,58.1,17,24,0.5417
head_detect_seg002,59.1,17,26,0.6154
head_detect_seg002,60.1,11,25,0.4400
head_detect_seg002,61.1,12,24,0.4167
head_detect_seg002,62.1,13,24,0.5417
head_detect_seg002,63.1,13,27,0.4815
head_detect_seg002,64.1,15,26,0.5385
head_detect_seg002,65.1,14,27,0.4815
head_detect_seg002,66.1,8,21,0.3810
head_detect_seg002,67.1,15,22,0.5909
head_detect_seg002,68.1,17,23,0.6957
head_detect_seg002,69.1,17,24,0.6250
head_detect_seg002,70.1,13,24,0.5417
head_detect_seg002,71.1,14,23,0.6087
head_detect_seg002,72.1,12,23,0.5217
head_detect_seg002,73.1,15,23,0.6522
head_detect_seg002,74.1,15,24,0.6250
head_detect_seg002,75.1,14,25,0.5600
head_detect_seg002,76.1,12,26,0.4615
head_detect_seg002,77.1,13,25,0.5200
head_detect_seg002,78.1,15,26,0.5769
head_detect_seg002,79.1,13,27,0.4815
head_detect_seg002,80.1,14,26,0.5000
head_detect_seg002,81.1,14,26,0.5385
head_detect_seg002,82.1,18,26,0.6538
head_detect_seg002,83.1,13,23,0.5652
head_detect_seg002,84.1,13,25,0.5200
head_detect_seg002,85.1,14,25,0.5600
head_detect_seg002,86.1,20,27,0.5926
head_detect_seg002,87.1,16,28,0.5357
head_detect_seg002,88.1,9,24,0.3750
head_detect_seg002,89.1,13,24,0.5000
head_detect_seg002,90.1,10,26,0.3846
head_detect_seg002,91.1,8,27,0.2963
head_detect_seg002,92.1,11,25,0.4400
head_detect_seg002,93.1,10,25,0.4000
head_detect_seg002,94.1,8,22,0.3636
head_detect_seg002,95.1,7,25,0.2800
head_detect_seg002,96.1,11,26,0.4231
head_detect_seg002,97.1,12,19,0.5789
head_detect_seg002,98.1,9,17,0.4706
head_detect_seg002,99.1,11,16,0.6250
head_detect_seg002,100.1,10,22,0.4545
head_detect_seg002,101.1,14,25,0.4800
head_detect_seg002,102.1,12,24,0.4583
head_detect_seg002,103.1,14,27,0.5185
head_detect_seg002,104.1,12,25,0.4800
head_detect_seg002,105.1,10,22,0.4545
head_detect_seg002,106.1,12,25,0.4800
head_detect_seg002,107.1,14,20,0.6500
head_detect_seg002,108.1,15,20,0.7000
head_detect_seg002,109.1,14,28,0.4643
head_detect_seg002,110.1,14,25,0.5200
head_detect_seg002,111.1,14,23,0.6087
head_detect_seg002,112.1,13,24,0.5417
head_detect_seg002,113.1,14,26,0.5385
head_detect_seg002,114.1,17,27,0.5926
head_detect_seg002,115.1,10,26,0.3846
head_detect_seg002,116.1,14,21,0.6190
head_detect_seg002,117.1,10,19,0.5263
head_detect_seg002,118.1,12,24,0.3333
head_detect_seg002,119.1,15,26,0.5385
head_detect_seg002,120.1,16,26,0.5385
head_detect_seg002,121.1,13,21,0.5714
head_detect_seg002,122.1,15,23,0.5652
head_detect_seg002,123.1,15,24,0.5417
head_detect_seg002,124.1,14,27,0.5185
head_detect_seg003,0.0,12,22,0.5000
head_detect_seg003,1.0,14,27,0.4444
head_detect_seg003,2.0,17,25,0.5600
head_detect_seg003,3.0,17,30,0.5333
head_detect_seg003,4.0,20,25,0.6800
head_detect_seg003,5.0,13,25,0.5200
head_detect_seg003,6.0,14,27,0.5185
head_detect_seg003,7.0,14,25,0.5200
head_detect_seg003,8.0,14,25,0.5600
head_detect_seg003,9.0,17,24,0.6667
head_detect_seg003,10.0,13,26,0.4615
head_detect_seg003,11.0,14,25,0.4800
